,words,phone,phone_order,wordnum,start_s,end_s,audibility,ids,filename
0,Durch,d,1,1,0.0,0.04709750566893424,0.171875,013,013.csv
1,Durch,ʊ,2,1,0.04712018140589569,0.08709750566893425,0.3296875,013,013.csv
2,Durch,ɐ,3,1,0.0871201814058957,0.20709750566893423,0.459375,013,013.csv
3,Durch,ç,4,1,0.2071201814058957,0.36709750566893423,0.223046875,013,013.csv
4,den,d,5,2,0.3671201814058957,0.44709750566893425,0.053125,013,013.csv
5,den,eː,6,2,0.4471201814058957,0.5270975056689342,0.69921875,013,013.csv
6,den,n,7,2,0.5271201814058957,0.6270975056689342,0.33052884615384615,013,013.csv
7,Regen,r,8,3,0.6271201814058956,0.7470975056689343,0.19270833333333334,013,013.csv
8,Regen,eː,9,3,0.7471201814058956,0.9270975056689342,0.654891304347826,013,013.csv
9,Regen,ɡ,10,3,0.9271201814058957,1.0470975056689342,0.10104166666666667,013,013.csv
10,Regen,ə,11,3,1.0471201814058957,1.2770975056689342,0.2351831896551724,013,013.csv
11,Regen,n,12,3,1.2771201814058957,1.3170975056689342,0.003125,013,013.csv
12,leuchtet,l,13,4,1.5471201814058957,1.6370975056689343,0.0859375,013,013.csv
13,leuchtet,ɔʏ,14,4,1.6371201814058958,1.7870975056689342,0.5205592105263158,013,013.csv
14,leuchtet,ç,15,4,1.7871201814058957,1.8970975056689343,0.24051339285714285,013,013.csv
15,leuchtet,t,16,4,1.8971201814058958,1.9670975056689342,0.0859375,013,013.csv
16,leuchtet,ə,17,4,1.9671201814058956,2.0470975056689342,0.471875,013,013.csv
17,leuchtet,t,18,4,2.0471201814058957,2.077097505668934,0.0,013,013.csv
18,das,d,19,5,2.0771201814058955,2.1270975056689343,0.34151785714285715,013,013.csv
19,das,a,20,5,2.1271201814058958,2.217097505668934,0.69140625,013,013.csv
20,das,s,21,5,2.2171201814058956,2.3170975056689342,0.4230769230769231,013,013.csv
21,Feuer,f,22,6,2.3171201814058957,2.4570975056689344,0.1284722222222222,013,013.csv
22,Feuer,ɔʏ,23,6,2.457120181405896,2.6270975056689343,0.7901278409090909,013,013.csv
23,Feuer,ɐ,24,6,2.6271201814058958,2.927097505668934,0.4083059210526316,013,013.csv
24,Der,d,1,1,0.0,0.03709750566893424,0.071875,137,137.csv
25,Der,eː,2,1,0.037120181405895694,0.07709750566893424,0.25,137,137.csv
26,Der,ɐ,3,1,0.07712018140589569,0.11709750566893425,0.240625,137,137.csv
27,Besitz,b,4,2,0.1171201814058957,0.20709750566893423,0.03515625,137,137.csv
28,Besitz,ə,5,2,0.2071201814058957,0.23709750566893423,0.134765625,137,137.csv
29,Besitz,z,6,2,0.2371201814058957,0.3570975056689342,0.171875,137,137.csv
30,Besitz,ɪ,7,2,0.3571201814058957,0.39709750566893426,0.2578125,137,137.csv
