,phone,phone_surprisal,phone_entropy,word,target_id,word_order,phone_num
0,f,,,frische,59,1,1
1,r,3.188717278502326,0.6355174497156335,frische,59,1,2
2,ɪ,5.528574257369012,0.07235820631635168,frische,59,1,3
3,ʃ,0.7195301207943902,0.001987413616118211,frische,59,1,4
4,ə,1.1006292177357937,0.0011562129256967651,frische,59,1,5
5,ɡ,,,gardinen,59,2,1
6,a,3.6415234831287226,0.5701630781764331,gardinen,59,2,2
7,r,4.479320886052997,0.04522680152589993,gardinen,59,2,3
8,d,2.952498832999208,0.0027873369556292694,gardinen,59,2,4
9,iː,3.519658461989541,0.00038651071786611005,gardinen,59,2,5
10,n,-0.0,3.662908954744943e-05,gardinen,59,2,6
11,ə,0.3178584305783153,3.662908954744943e-05,gardinen,59,2,7
12,n,0.31685710533994055,2.901414626602846e-05,gardinen,59,2,8
13,h,,,hängen,59,3,1
14,ɛ,3.264573425772516,0.5464493382207486,hängen,59,3,2
15,ŋ,5.17398537630604,0.07078474359935433,hängen,59,3,3
16,ə,1.3132221284269043,0.0022278204626030368,hängen,59,3,4
17,n,0.30348288284766417,0.0008918571440365247,hängen,59,3,5
18,ʔ,,,am,59,4,1
19,a,1.6357452193168687,2.2410487228891505,am,59,4,2
20,m,5.757870454780846,0.8533098065212363,am,59,4,3
21,f,,,fenster,59,5,1
22,ɛ,1.9394424384642945,0.6355174497156335,fenster,59,5,2
23,n,6.432179268970871,0.1912283684147088,fenster,59,5,3
24,s,0.417246505429202,0.0022999798348161873,fenster,59,5,4
25,t,0.22878569537779042,0.0016069069025590862,fenster,59,5,5
26,ɐ,0.0012378336588539523,0.0013420634368800893,fenster,59,5,6
27,d,,,der,30,1,1
28,eː,2.674012425736514,1.0747748069098002,der,30,1,2
29,ɐ,0.8765551008297994,0.1530842885872705,der,30,1,3
30,r,,,regen,30,2,1
31,eː,3.462108012689491,0.19941777424498747,regen,30,2,2
32,ɡ,2.3501106793218,0.01561113753559591,regen,30,2,3
33,ə,0.2616798203175415,0.003738062007086332,regen,30,2,4
34,n,1.6189625848993183,0.0030350950926875354,regen,30,2,5
35,t,,,tropft,30,3,1
36,r,3.7455744746162054,0.4635526956186452,tropft,30,3,2
37,ɔ,2.635363511008748,0.04491136132201208,tropft,30,3,3
38,p,4.665819135247385,0.0070925026844619495,tropft,30,3,4
39,f,0.022694547270795253,0.00031778760769331894,tropft,30,3,5
40,t,3.0247183952039864,0.00031160411171168444,tropft,30,3,6
41,f,,,vom,30,4,1
42,ɔ,2.8312996625466624,0.6355174497156335,vom,30,4,2
43,m,3.771413413934822,0.06852017577932991,vom,30,4,3
44,d,,,dach,30,5,1
45,a,1.568021406641046,1.0747748069098002,dach,30,5,2
46,x,5.955914686394385,0.35786564093554474,dach,30,5,3
47,m,,,montag,44,1,1
48,oː,6.700667420228179,0.6236366443941769,montag,44,1,2
49,n,0.4515307137735023,0.009085681614945355,montag,44,1,3
50,t,2.7098215632176506,0.006289568562695694,montag,44,1,4
51,aː,1.010837196805724,0.0010339448496269395,montag,44,1,5
52,k,0.18496032980359225,0.0005267757750478289,montag,44,1,6
53,v,,,war,44,2,1
54,aː,3.7262485352678247,0.8544178205053973,war,44,2,2
55,r,0.1377601837463117,0.06398623644308668,war,44,2,3
56,ʔ,,,es,44,3,1
57,ɛ,2.7508470390166497,2.2410487228891505,es,44,3,2
58,s,1.2525756893257727,0.3459024941311942,es,44,3,3
59,ʔ,,,uns,44,4,1
60,ʊ,3.218766885982564,2.2410487228891505,uns,44,4,2
61,n,0.2158667483671557,0.23405850554192903,uns,44,4,3
