,phone,phone_surprisal,phone_entropy,word,id,word_order,phone_num
0,ʔ,,,ein,dis_205,1,1
1,aɪ,3.2589392271272044,2.2410469552427026,ein,dis_205,1,2
2,n,0.06414877737702182,0.23716810887047335,ein,dis_205,1,3
3,l,,,lächeln,dis_205,2,1
4,ɛ,3.591851539150573,0.29330381217232326,lächeln,dis_205,2,2
5,ç,3.752521613309578,0.02625760923624758,lächeln,dis_205,2,3
6,ə,0.9035170494225292,0.0021469414546893576,lächeln,dis_205,2,4
7,l,0.10823221626307625,0.0011462845424289195,lächeln,dis_205,2,5
8,n,0.3804218951017233,0.0010520049316222193,lächeln,dis_205,2,6
9,ʔ,,,erhellte,dis_205,3,1
10,ɛ,2.750844299944567,2.2410469552427026,erhellte,dis_205,3,2
11,ɐ,1.4584969957572176,0.34590391870179166,erhellte,dis_205,3,3
12,m,6.136012876402541,0.1359483678182793,erhellte,dis_205,3,4
13,h,3.8637258360192175,0.0032703107533750336,erhellte,dis_205,3,5
14,ɛ,2.8420394512585485,0.00025937139722990304,erhellte,dis_205,3,6
15,l,-0.0,3.881092447705184e-05,erhellte,dis_205,3,7
16,t,0.31797008131867915,3.881092447705184e-05,erhellte,dis_205,3,8
17,ə,2.3824696368224134,3.0352470481994753e-05,erhellte,dis_205,3,9
18,d,,,das,dis_205,4,1
19,a,1.5680214066406188,1.074776093989791,das,dis_205,4,2
20,s,0.787595526969828,0.35786606826723727,das,dis_205,4,3
21,ɡ,,,gesicht,dis_205,5,1
22,ə,1.2358945389701446,0.5701678078478355,gesicht,dis_205,5,2
23,z,2.9718958762280887,0.26212889119126337,gesicht,dis_205,5,3
24,ɪ,3.181391581896051,0.02872667148338933,gesicht,dis_205,5,4
25,ç,0.031920199688600485,0.003611979143443762,gesicht,dis_205,5,5
26,t,0.10496422703662873,0.003495678088808943,gesicht,dis_205,5,6
27,d,,,des,dis_205,6,1
28,ɛ,4.80404383378558,1.074776093989791,des,dis_205,6,2
29,s,1.5816567243042106,0.05403012107367732,des,dis_205,6,3
30,m,,,müden,dis_205,7,1
31,yː,8.802724248027657,0.6236166673650485,müden,dis_205,7,2
32,d,0.8007051192864976,0.0020836990814793294,müden,dis_205,7,3
33,ə,0.040421746624601296,0.0010962258146287275,müden,dis_205,7,4
34,n,5.498831078692247,0.001054052463805729,müden,dis_205,7,5
35,r,,,reisenden,dis_205,8,1
36,aɪ,3.0732203866696404,0.19941723343125461,reisenden,dis_205,8,2
37,z,3.5604160252768247,0.023645218497965612,reisenden,dis_205,8,3
38,ə,0.013561936353798392,0.0020586731942941433,reisenden,dis_205,8,4
39,n,1.614716712014875,0.002029919125719,reisenden,dis_205,8,5
40,d,2.0899047338101875,0.0006827381014395901,reisenden,dis_205,8,6
41,ə,0.35562814249929847,0.00018556996036644597,reisenden,dis_205,8,7
42,n,1.1045199872234437,0.00014362983028027725,reisenden,dis_205,8,8
43,d,,,die,dis_136,1,1
44,iː,2.650458870553376,1.074776093989791,die,dis_136,1,2
45,l,,,lampe,dis_136,2,1
46,a,1.6441748501795022,0.29330381217232326,lampe,dis_136,2,2
47,m,7.260376149112906,0.0925109476438518,lampe,dis_136,2,3
48,p,0.8350679340182817,0.0008406196519889229,lampe,dis_136,2,4
49,ə,0.18929127161012194,0.00045234291544087447,lampe,dis_136,2,5
50,ʔ,,,erhellte,dis_136,3,1
51,ɛ,2.750844299944567,2.2410469552427026,erhellte,dis_136,3,2
52,ɐ,1.4584969957572176,0.34590391870179166,erhellte,dis_136,3,3
53,m,6.136012876402541,0.1359483678182793,erhellte,dis_136,3,4
54,h,3.8637258360192175,0.0032703107533750336,erhellte,dis_136,3,5
55,ɛ,2.8420394512585485,0.00025937139722990304,erhellte,dis_136,3,6
56,l,-0.0,3.881092447705184e-05,erhellte,dis_136,3,7
57,t,0.31797008131867915,3.881092447705184e-05,erhellte,dis_136,3,8
58,ə,2.3824696368224134,3.0352470481994753e-05,erhellte,dis_136,3,9
59,d,,,den,dis_136,4,1
60,eː,2.6740124257360707,1.074776093989791,den,dis_136,4,2
61,n,1.7418462024256847,0.15308446785274016,den,dis_136,4,3
62,r,,,raum,dis_136,5,1
63,aʊ,3.3827727224542428,0.19941723343125461,raum,dis_136,5,2
64,m,3.3460283446878485,0.0174526449181644,raum,dis_136,5,3
65,m,,,mit,dis_136,6,1
66,ɪ,2.0673509384110798,0.6236166673650485,mit,dis_136,6,2
67,t,0.9597259623144939,0.12431584262009066,mit,dis_136,6,3
68,v,,,warmem,dis_136,7,1
69,a,1.5930162103589418,0.854418881101613,warmem,dis_136,7,2
70,r,3.1285446797568692,0.2701258789326657,warmem,dis_136,7,3
71,m,5.876981139372626,0.036440114081548416,warmem,dis_136,7,4
72,ə,1.6642342087582656,0.0009341660885130205,warmem,dis_136,7,5
73,m,5.679681157974295,0.0003169007015127813,warmem,dis_136,7,6
74,l,,,licht,dis_136,8,1
75,ɪ,5.069829494033621,0.29330381217232326,licht,dis_136,8,2
76,ç,1.981453663754239,0.010370482910128109,licht,dis_136,8,3
77,t,0.02805353101128763,0.002471043467950544,licht,dis_136,8,4
78,ʔ,,,auf,dis_180,1,1
79,aʊ,3.858868143146389,2.2410469552427026,auf,dis_180,1,2
80,f,1.1226337252700107,0.18594995903978884,auf,dis_180,1,3
81,d,,,dem,dis_180,2,1
82,eː,2.6740124257360707,1.074776093989791,dem,dis_180,2,2
83,m,2.7714931078373874,0.15308446785274016,dem,dis_180,2,3
84,j,,,jahrmarkt,dis_180,3,1
85,aː,3.6873321743609435,0.16543315089271474,jahrmarkt,dis_180,3,2
86,r,0.29859869689073937,0.01627925516338449,jahrmarkt,dis_180,3,3
87,m,7.708876085018186,0.012488029690247622,jahrmarkt,dis_180,3,4
88,a,0.10106152778187477,8.724083305449678e-05,jahrmarkt,dis_180,3,5
89,r,-0.0,7.99116000285684e-05,jahrmarkt,dis_180,3,6
90,k,-0.0,7.99116000285684e-05,jahrmarkt,dis_180,3,7
91,t,-0.0,7.99116000285684e-05,jahrmarkt,dis_180,3,8
92,f,,,fand,dis_180,4,1
93,a,3.4475017034462407,0.6355156082837807,fand,dis_180,4,2
94,n,3.770236685095855,0.06277072033267424,fand,dis_180,4,3
95,t,0.4463489553415621,0.004934100914806983,fand,dis_180,4,4
96,z,,,sie,dis_180,5,1
97,iː,1.469619257747852,0.6041195836525136,sie,dis_180,5,2
98,d,,,das,dis_180,6,1
99,a,1.5680214066406188,1.074776093989791,das,dis_180,6,2
100,s,0.787595526969828,0.35786606826723727,das,dis_180,6,3
101,t,,,ticket,dis_180,7,1
102,ɪ,6.972791722638043,0.46355329219979374,ticket,dis_180,7,2
103,k,3.0655461452563957,0.005070070404359772,ticket,dis_180,7,3
104,ə,0.6079300622682818,0.0006492325516377039,ticket,dis_180,7,4
105,t,0.24583474818497694,0.0004121643309693091,ticket,dis_180,7,5
106,ʔ,,,ins,dis_180,8,1
107,ɪ,1.7669356894197654,2.2410469552427026,ins,dis_180,8,2
108,n,2.8633342602695935,0.44260385181950945,ins,dis_180,8,3
109,s,4.0245976008535225,0.08647769743864933,ins,dis_180,8,4
110,ʔ,,,abenteuer,dis_180,9,1
111,aː,5.126992158848271,2.2410469552427026,abenteuer,dis_180,9,2
112,b,0.2888377247004695,0.06550742461597563,abenteuer,dis_180,9,3
113,ə,3.540414344372961,0.04730958279941765,abenteuer,dis_180,9,4
114,n,0.033288912136794274,0.006393581784515729,abenteuer,dis_180,9,5
115,t,0.012934778894941308,0.006184049033536909,abenteuer,dis_180,9,6
