,id,word_order,word,frequency
0,59,1,frische,2.706
1,59,2,gardinen,1.477
2,59,3,hängen,3.058
3,59,4,am,4.418
4,59,5,fenster,3.33
5,30,1,der,5.456
6,30,2,regen,3.01
7,30,3,tropft,1.681
8,30,4,vom,4.102
9,30,5,dach,3.093
10,44,1,montag,2.806
11,44,2,war,5.05
12,44,3,es,5.577
13,44,4,uns,4.928
14,44,5,zu,5.369
15,44,6,regnerisch,0.602
16,17,1,der,5.456
17,17,2,bus,3.121
18,17,3,hupt,1.934
19,17,4,vor,4.588
20,17,5,der,5.456
21,17,6,belebten,0.954
22,17,7,haltestelle,1.908
23,257,1,sie,5.753
24,257,2,trägt,3.138
25,257,3,ein,5.339
26,257,4,lächeln,3.095
27,257,5,im,4.806
28,257,6,gesicht,3.695
29,27,1,kinder,3.986
30,27,2,spielen,3.799
31,27,3,fröhlich,2.43
32,27,4,im,4.806
33,27,5,park,3.17
34,209,1,ein,5.339
35,209,2,schiff,3.573
36,209,3,gleitet,1.362
37,209,4,über,4.503
38,209,5,das,5.713
39,209,6,wasser,3.752
40,260,1,sie,5.753
41,260,2,läuft,3.677
42,260,3,entspannt,2.431
43,260,4,am,4.418
44,260,5,strand,3.033
45,260,6,entlang,3.073
46,69,1,die,5.613
47,69,2,rinder,1.643
48,69,3,sind,5.072
49,69,4,noch,4.969
50,69,5,auf,5.157
51,69,6,der,5.456
52,69,7,weide,1.544
53,207,1,die,5.613
54,207,2,vögel,2.761
55,207,3,umkreisten,0.477
56,207,4,den,5.181
57,207,5,turm,2.508
58,51,1,die,5.613
59,51,2,ärzte,2.859
60,51,3,sind,5.072
61,51,4,damit,4.384
62,51,5,gar,4.116
63,51,6,nicht,5.647
64,51,7,einverstanden,3.076
65,60,1,auf,5.157
66,60,2,dem,4.883
67,60,3,brett,2.598
68,60,4,leuchten,2.143
69,60,5,bunte,1.613
70,60,6,tulpen,1.415
71,150,1,opa,2.94
72,150,2,jammert,1.633
73,150,3,ständig,3.29
74,150,4,über,4.503
75,150,5,seine,4.292
76,150,6,asthmaanfälle,0.301
77,23,1,das,5.713
78,23,2,telefon,3.566
79,23,3,klingelt,2.851
80,23,4,in,5.311
81,23,5,der,5.456
82,23,6,stillen,2.193
83,23,7,wohnung,3.348
84,128,1,du,5.705
85,128,2,hilfst,2.786
86,128,3,mir,5.221
87,128,4,beim,3.942
88,128,5,fernstudium,0.602
89,68,1,draußen,3.83
90,68,2,fliegt,2.986
91,68,3,die,5.613
92,68,4,landschaft,2.17
93,68,5,vorbei,3.819
94,25,1,die,5.613
