,words,surprisal,entropy,id,word_order,surprisal_new
0,Frische,26.259018421173096,15.901697635650635,59,1,
1,Gardinen,18.87244087457657,9.894074320793152,59,2,18.87244087457657
2,hängen,10.520395278930664,6.740279674530029,59,3,10.520395278930664
3,am,5.320113658905029,6.548659324645996,59,4,5.320113658905029
4,Fenster,2.820561170578003,8.366246223449707,59,5,2.820561170578003
5,Der,18.26059341430664,8.896342277526855,30,1,
6,Regen,11.327692985534668,11.863557815551758,30,2,11.327692985534668
7,tropft,11.318736113607883,7.902700841426849,30,3,11.318736113607883
8,vom,4.900145053863525,5.149147987365723,30,4,4.900145053863525
9,Dach,7.163442611694336,4.731602191925049,30,5,7.163442611694336
10,Montag,27.374187469482422,8.896342277526855,44,1,
11,war,10.882521629333496,7.427122116088867,44,2,10.882521629333496
12,es,5.321493148803711,7.886984825134277,44,3,5.321493148803711
13,uns,7.731157302856445,7.4463043212890625,44,4,7.731157302856445
14,zu,6.254377365112305,6.323855400085449,44,5,6.254377365112305
15,regnerisch,21.644026443362236,5.860802352428436,44,6,21.644026443362236
16,Der,18.26059341430664,8.896342277526855,17,1,
17,Bus,10.552653312683105,11.863557815551758,17,2,10.552653312683105
18,hupt,14.832810640335083,13.13100528717041,17,3,14.832810640335083
19,vor,5.850800037384033,5.709953784942627,17,4,5.850800037384033
20,der,3.4120848178863525,5.038167953491211,17,5,3.4120848178863525
21,belebten,15.550033912062645,10.134970247745514,17,6,15.550033912062645
22,Haltestelle,5.288198947906494,9.45466423034668,17,7,5.288198947906494
23,Sie,18.278270721435547,8.896342277526855,257,1,
24,trägt,12.359408378601074,7.353473663330078,257,2,12.359408378601074
25,ein,4.906501770019531,8.057985305786133,257,3,4.906501770019531
26,Lächeln,8.11851692199707,10.722633361816406,257,4,8.11851692199707
27,im,3.661642074584961,4.661816120147705,257,5,3.661642074584961
28,Gesicht,0.24031658470630646,1.2857060432434082,257,6,0.24031658470630646
29,Kinder,21.897796630859375,8.896342277526855,27,1,
30,spielen,9.915658950805664,9.259928703308105,27,2,9.915658950805664
31,fröhlich,12.51540756225586,8.027769088745117,27,3,12.51540756225586
32,im,5.073373317718506,5.51838493347168,27,4,5.073373317718506
33,Park,5.779038906097412,8.966754913330078,27,5,5.779038906097412
34,Ein,18.193517684936523,8.896342277526855,209,1,
35,Schiff,8.867080688476562,11.972281455993652,209,2,8.867080688476562
36,gleitet,15.06696367263794,16.27095937728882,209,3,15.06696367263794
37,über,3.5605716705322266,6.84151554107666,209,4,3.5605716705322266
38,das,3.5958316326141357,5.54115104675293,209,5,3.5958316326141357
39,Wasser,1.992472529411316,6.786994934082031,209,6,1.992472529411316
40,Sie,18.278270721435547,8.896342277526855,260,1,
41,läuft,15.634464263916016,7.353473663330078,260,2,15.634464263916016
42,entspannt,13.9521484375,7.526665210723877,260,3,13.9521484375
43,am,7.325272083282471,5.661861419677734,260,4,7.325272083282471
44,Strand,4.721149921417236,9.231670379638672,260,5,4.721149921417236
45,entlang,0.5072717666625977,2.459240198135376,260,6,0.5072717666625977
46,Die,17.841373443603516,8.896342277526855,69,1,
47,Rinder,13.46818733215332,12.353851318359375,69,2,13.46818733215332
48,sind,4.099489688873291,8.628273010253906,69,3,4.099489688873291
49,noch,6.010324954986572,8.551223754882812,69,4,6.010324954986572
50,auf,5.501384735107422,5.849682807922363,69,5,5.501384735107422
51,der,1.8834095001220703,5.308207035064697,69,6,1.8834095001220703
52,Weide,0.6471846699714661,2.508918046951294,69,7,0.6471846699714661
53,Die,17.841373443603516,8.896342277526855,207,1,
54,Vögel,13.082208633422852,12.353851318359375,207,2,13.082208633422852
55,umkreisten,14.448693150654435,8.935819149017334,207,3,14.448693150654435
56,den,3.4718847274780273,6.322240352630615,207,4,3.4718847274780273
57,Turm,8.277654647827148,10.335927963256836,207,5,8.277654647827148
58,Die,17.841373443603516,8.896342277526855,51,1,
59,Ärzte,11.6112699508667,12.353851318359375,51,2,11.6112699508667
60,sind,4.372074127197266,8.10910701751709,51,3,4.372074127197266
61,damit,8.125547409057617,8.48430347442627,51,4,8.125547409057617
62,gar,10.627677917480469,7.379258632659912,51,5,10.627677917480469
63,nicht,0.041794855147600174,0.3441506624221802,51,6,0.041794855147600174
64,einverstanden,1.6421529054641724,4.361608028411865,51,7,1.6421529054641724
65,Auf,20.565061569213867,8.896342277526855,60,1,
66,dem,3.501103639602661,8.60616397857666,60,2,3.501103639602661
67,Brett,11.569331169128418,9.935173988342285,60,3,11.569331169128418
68,leuchten,14.616473197937012,8.774554252624512,60,4,14.616473197937012
69,bunte,7.646736145019531,7.552475929260254,60,5,7.646736145019531
70,Tulpen,10.42662113904953,9.57030725479126,60,6,10.42662113904953
71,Opa,25.425183296203613,19.33225440979004,150,1,
72,jammert,27.770530700683594,18.704089164733887,150,2,27.770530700683594
73,ständig,9.524067878723145,8.186080932617188,150,3,9.524067878723145
74,über,2.990908145904541,5.401312828063965,150,4,2.990908145904541
75,seine,3.71321964263916,7.029982566833496,150,5,3.71321964263916
76,Asthmaanfälle,15.95484246686101,14.99220958352089,150,6,15.95484246686101
77,Das,18.880918502807617,8.896342277526855,23,1,
78,Telefon,11.557262420654297,10.476740837097168,23,2,11.557262420654297
79,klingelt,1.8799901008605957,5.612427234649658,23,3,1.8799901008605957
80,in,6.433367729187012,4.685949325561523,23,4,6.433367729187012
81,der,1.5375007390975952,6.652194499969482,23,5,1.5375007390975952
82,stillen,13.446310997009277,8.970549583435059,23,6,13.446310997009277
83,Wohnung,7.643515110015869,6.59900426864624,23,7,7.643515110015869
84,Du,20.054386138916016,8.896342277526855,128,1,
85,hilfst,22.51567268371582,18.40481472015381,128,2,22.51567268371582
86,mir,3.4051425457000732,7.876061916351318,128,3,3.4051425457000732
87,beim,6.351985931396484,6.167526721954346,128,4,6.351985931396484
88,Fernstudium,16.45880126953125,14.996807098388672,128,5,16.45880126953125
89,Draußen,29.450202465057373,15.132203102111816,68,1,
90,fliegt,13.555981636047363,8.383546829223633,68,2,13.555981636047363
91,die,3.7643485069274902,6.309235095977783,68,3,3.7643485069274902
92,Landschaft,10.131338119506836,8.909202575683594,68,4,10.131338119506836
93,vorbei,6.175178527832031,7.190484046936035,68,5,6.175178527832031
94,Die,17.841373443603516,8.896342277526855,25,1,
95,Blumen,13.241004943847656,12.353851318359375,25,2,13.241004943847656
96,blühen,7.617628186941147,9.211504638195038,25,3,7.617628186941147
97,im,4.211169242858887,6.564887523651123,25,4,4.211169242858887
98,Garten,4.737873554229736,7.0015034675598145,25,5,4.737873554229736
99,Die,17.841373443603516,8.896342277526855,253,1,
100,Radfahrer,14.198868751525879,12.353851318359375,253,2,14.198868751525879
101,erkunden,12.284719467163086,7.59525203704834,253,3,12.284719467163086
102,den,3.1008410453796387,6.2098069190979,253,4,3.1008410453796387
103,Wald,5.248560428619385,10.54555606842041,253,5,5.248560428619385
104,Unruhig,39.3868522644043,29.126062393188477,7,1,
105,tanzen,15.628464698791504,9.15556526184082,7,2,15.628464698791504
106,Blätter,16.22110939025879,6.1320085525512695,7,3,16.22110939025879
107,im,5.371799468994141,8.079075813293457,7,4,5.371799468994141
108,Sonnenschein,7.241988658905029,7.131031513214111,7,5,7.241988658905029
109,Durch,20.922212600708008,8.896342277526855,119,1,
110,den,4.164959907531738,6.737635612487793,119,2,4.164959907531738
111,ständigen,9.298099517822266,10.838671684265137,119,3,9.298099517822266
112,Föhn,18.50343084335327,14.584049224853516,119,4,18.50343084335327
113,verdorren,20.70601212978363,14.739825010299683,119,5,20.70601212978363
114,die,1.1742826700210571,5.880601406097412,119,6,1.1742826700210571
115,Ähren,12.035074710845947,9.513442158699036,119,7,12.035074710845947
116,Bei,21.51325035095215,8.896342277526855,118,1,
117,dem,5.107017517089844,8.263981819152832,118,2,5.107017517089844
118,Peitschenknall,25.915750458836555,21.204038977622986,118,3,25.915750458836555
119,scheuten,19.68315029144287,14.988670825958252,118,4,19.68315029144287
120,die,1.500876545906067,4.617768287658691,118,5,1.500876545906067
121,Rösser,13.199752807617188,16.470179557800293,118,6,13.199752807617188
