BEGIN;DURATION;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD
0;2518;-1;(...);;;;;;;;;;
2519;2204;0;d;;Der;d e: 6;;;;;;;
4724;3086;0;eː;;Der;d e: 6;;;;;;;
7811;2204;0;ɐ;;Der;d e: 6;;;;;;;
10016;5732;1;f;;fünfzehige;f Y n f ts e: I g @;;;;;;;
15749;3086;1;ʏ;;fünfzehige;f Y n f ts e: I g @;;;;;;;
18836;2204;1;n;;fünfzehige;f Y n f ts e: I g @;;;;;;;
21041;7937;1;f;;fünfzehige;f Y n f ts e: I g @;;;;;;;
28979;4850;1;ts;;fünfzehige;f Y n f ts e: I g @;;;;;;;
33830;7937;1;eː;;fünfzehige;f Y n f ts e: I g @;;;;;;;
41768;1322;1;ɪ;;fünfzehige;f Y n f ts e: I g @;;;;;;;
43091;2645;1;ɡ;;fünfzehige;f Y n f ts e: I g @;;;;;;;
45737;3968;1;ə;;fünfzehige;f Y n f ts e: I g @;;;;;;;
49706;7937;2;f;;Fuß;f u: s;;;;;;;
57644;8819;2;uː;;Fuß;f u: s;;;;;;;
66464;6614;2;s;;Fuß;f u: s;;;;;;;
73079;3968;3;k;;kommt;k O m t;;;;;;;
77048;3527;3;ɔ;;kommt;k O m t;;;;;;;
80576;3527;3;m;;kommt;k O m t;;;;;;;
84104;1763;3;t;;kommt;k O m t;;;;;;;
85868;1322;4;ʔ;;in;? I n;;;;;;;
87191;1763;4;ɪ;;in;? I n;;;;;;;
88955;2204;4;n;;in;? I n;;;;;;;
91160;1763;5;d;;der;d e: 6;;;;;;;
92924;1763;5;eː;;der;d e: 6;;;;;;;
94688;1322;5;ɐ;;der;d e: 6;;;;;;;
96011;7055;6;t;;Tierwelt;t i: 6 v E l t;;;;;;;
103067;3527;6;iː;;Tierwelt;t i: 6 v E l t;;;;;;;
106595;1763;6;ɐ;;Tierwelt;t i: 6 v E l t;;;;;;;
108359;3086;6;v;;Tierwelt;t i: 6 v E l t;;;;;;;
111446;3968;6;ɛ;;Tierwelt;t i: 6 v E l t;;;;;;;
115415;1763;6;l;;Tierwelt;t i: 6 v E l t;;;;;;;
117179;1322;6;t;;Tierwelt;t i: 6 v E l t;;;;;;;
118502;3968;7;h;;häufig;h OY f I C;;;;;;;
122471;7937;7;ɔʏ;;häufig;h OY f I C;;;;;;;
130409;4850;7;f;;häufig;h OY f I C;;;;;;;
135260;2204;7;ɪ;;häufig;h OY f I C;;;;;;;
137465;5732;7;ç;;häufig;h OY f I C;;;;;;;
143198;2645;8;f;;vor;f o: 6;;;;;;;
145844;2204;8;oː;;vor;f o: 6;;;;;;;
148049;14552;8;ɐ;;vor;f o: 6;;;;;;;
162602;4309;-1;(...);;;;;;;;;;
