BEGIN;DURATION;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD
0;1636;0;d;;Der;d e: 6;;;;;;;
1637;1763;0;eː;;Der;d e: 6;;;;;;;
3401;2645;0;ɐ;;Der;d e: 6;;;;;;;
6047;6173;1;f;;Fluss;f l U s;;;;;;;
12221;3527;1;l;;Fluss;f l U s;;;;;;;
15749;5291;1;ʊ;;Fluss;f l U s;;;;;;;
21041;7937;1;s;;Fluss;f l U s;;;;;;;
28979;5732;2;p;;plätschert;p l E t S 6 t;;;;;;;
34712;4850;2;l;;plätschert;p l E t S 6 t;;;;;;;
39563;3968;2;ɛ;;plätschert;p l E t S 6 t;;;;;;;
43532;3968;2;t;;plätschert;p l E t S 6 t;;;;;;;
47501;5732;2;ʃ;;plätschert;p l E t S 6 t;;;;;;;
53234;5291;2;ɐ;;plätschert;p l E t S 6 t;;;;;;;
58526;10142;2;t;;plätschert;p l E t S 6 t;;;;;;;
68669;2645;3;z;;sanft;z a n f t;;;;;;;
71315;4409;3;a;;sanft;z a n f t;;;;;;;
75725;4409;3;n;;sanft;z a n f t;;;;;;;
80135;3527;3;f;;sanft;z a n f t;;;;;;;
83663;1322;3;t;;sanft;z a n f t;;;;;;;
84986;3086;4;d;;durch;d U 6 C;;;;;;;
88073;1322;4;ʊ;;durch;d U 6 C;;;;;;;
89396;1322;4;ɐ;;durch;d U 6 C;;;;;;;
90719;3968;4;ç;;durch;d U 6 C;;;;;;;
94688;3527;5;d;;das;d a s;;;;;;;
98216;3086;5;a;;das;d a s;;;;;;;
101303;5732;5;s;;das;d a s;;;;;;;
107036;7055;6;t;;Tal;t a: l;;;;;;;
114092;8378;6;aː;;Tal;t a: l;;;;;;;
122471;5732;6;l;;Tal;t a: l;;;;;;;
128204;4049;-1;(...);;;;;;;;;;
